procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 555976  42848   3152 152460    0    0     0    28 1361  616  1 23 76  0  0
 1  0 555976  35212   3152 152460    0    0     0     0 1337  709  0 34 66  0  0
 2  0 555976  36268   3152 152468    0    0     0     0 1575  737  0 37 63  0  0
 0  0 555976  41588   3152 152472    0    0     0     0 1494  780  0 40 60  0  0
 4  0 555976  40392   3160 152476    0    0     0    28 1541  817  0 35 64  1  0
 0  0 555976  37836   3160 152480    0    0     0    20 1417  709  0 29 71  0  0
 2  0 555976  39360   3160 152480    0    0     0     4 1318  757  1 32 67  0  0
 0  0 555976  42780   3160 152484    0    0     0     0 1379  788  1 47 53  0  0
 1  0 555976  38216   3160 152484    0    0     0     0 1153  655  0 27 73  0  0
 0  0 555976  43168   3168 152492    0    0     0    28 1599  800  1 36 63  1  0
 0  0 555976  43552   3168 152492    0    0     0    24 1240  691  1 35 64  0  0
 0  0 555976  42748   3168 152500    0    0     0     0 1246  842  0 25 75  0  0
