procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 504556  16224   2796 141260    0    0     0    12  705  470  0 10 90  0  0
 0  0 504556  16240   2796 141416    0    0   180     0  434  369  0  1 99  0  0
 0  0 504556  16368   2796 141440    0    0     0     0  807  580  1  9 90  1  0
 0  0 504556  17184   2796 141440    0    0     0     0  594  451  0  4 96  0  0
 0  0 504556  16564   2804 141444    0    0     0    28  521  448  0  3 97  0  0
 0  0 504556  16152   2804 141444    0    0     0    12  737  461  0  6 94  0  0
 0  0 504556  16352   2804 141444    0    0     0     4  825  546  0  7 93  0  0
 0  0 504556  17568   2804 141444    0    0     0     0  709  519  0  8 92  0  0
 0  0 504556  16736   2804 141448    0    0     0     0 1046  700  0 16 84  0  0
 0  0 504556  16416   2812 141440    0    0     0    28  731  528  1 10 89  1  0
 3  0 504556  16672   2812 141448    0    0     0     8  587  400  0  7 93  0  0
 0  0 504556  16348   2812 141452    0    0     0     0  552  360  0  5 95  0  0
 0  0 504556  16488   2812 141452    0    0     0     4  774  543  0 14 86  0  0
 0  0 504556  17236   2812 141452    0    0     0     0  594  419  0  8 92  0  0
 1  0 504556  14892   2820 141444    0    0     0    32  774  529  0 14 86  0  0
 2  0 504556  16724   2820 141456    0    0     0     0  920  565  0 10 90  0  0
 2  0 504556  17340   2820 141456    0    0     0    12  661  495  0  5 95  0  0
 2  0 504556  16320   2820 141456    0    0     0     0  505  358  0  5 95  0  0
 2  0 504556  16376   2820 141456    0    0     0     4  830  548  1  7 92  0  0
 1  0 504556  16048   2820 141460    0    0     0     0  840  483  0  9 91  0  0
 1  0 504556  16428   2828 141460    0    0     0    28  666  498  0  6 93  1  0
 1  0 504556  16172   2828 141464    0    0     0    12  781  508  0 10 90  0  0
 1  0 504556  17028   2828 141464    0    0     0     0  622  440  0  8 92  0  0
 0  0 504556  16552   2828 141464   24    0    24     0  650  460  0  6 93  1  0
 1  0 504556  16020   2828 141464    0    0     0     4  751  477  0 10 90  0  0
 1  0 504556  16040   2836 141468    0    0     0   320  590  447  0  3 97  0  0
 3  0 504556  15292   2836 141468    0    0     0     0 1003  576  0 14 86  0  0
 0  0 504556  18096   2836 140080    4    0   616    12 1034  675  1 18 81  1  0
 0  0 504556  17512   2836 140220    0    0   140     0  735  530  0  9 91  0  0
 0  0 504556  19096   2836 140224    0    0     0     0  358  330  0  3 97  0  0
 1  0 504556  18424   2848 140224    0    0     0   204  769  514  1  9 90  1  0
 0  0 504556  18084   2848 140224    0    0     0     0  710  461  0  9 91  0  0
 0  0 504556  18808   2848 140224    0    0     0     8  926  596  0 11 89  0  0
 0  0 504556  18396   2848 140228    0    0     0     0  645  454  0  5 95  0  0
 1  0 504556  19792   2848 140228    0    0     0     0  620  431  1  6 94  0  0
 0  0 504556  18840   2856 140232    0    0     0    28  638  461  0  6 94  1  0
 1  0 504556  17664   2856 140232    0    0     0     4  759  510  0  9 91  0  0
 0  0 504556  18780   2856 140232    0    0     0    12  645  416  0  5 95  0  0
 3  0 504556  15856   2856 140232    0    0     0     0  546  450  0  3 97  0  0
 0  0 504556  18492   2856 140236    0    0     0     0  619  413  0  6 94  0  0
 0  0 504556  18372   2864 140228    0    0     0    28  731  555  0  7 93  0  0
 0  0 504556  18848   2864 140236    0    0     0     0  512  345  0  2 98  0  0
 0  0 504556  19104   2864 140236    0    0     0    12  964  613  0  9 91  0  0
 0  0 504556  19072   2864 140244    0    0     0     0  690  443  1 11 88  0  0
 2  0 504556  16876   2864 140244    0    0     0     0  875  560  0 11 89  0  0
